city,price,reply time,guest favourite,host since,host Certification,room_type,host total listings count,consumer,total reviewers number,accommodates,bathrooms,bedrooms,beds,listing number,host response rate,host acceptance rate,sales,area
1,250,0.0,0,4563,1.0,3,1,0.5201326779119624,47,6,0.2770157251836133,2,3,1,0.13844807200061943,-1.2481385654252748,102,1
1,152,0.0,0,5120,1.0,3,5,0.4656598852907958,42,4,-0.48496418734974894,1,2,5,0.13844807200061943,-1.2481385654252748,166,1
1,120,0.0,0,4534,1.0,2,1,-2.129579591731929,0,1,-0.48496418734974894,1,2,2,0.44105535025487397,-0.5025976446369231,181,1
1,75,1.0,1,5111,1.0,3,1,0.5395872467052364,29,1,-0.48496418734974894,0,1,1,0.44105535025487397,0.6319211478670901,365,1
1,90,0.0,0,5033,1.0,3,1,0.42675074770424837,7,2,-0.48496418734974894,1,1,4,0.44105535025487397,-0.01637530499234596,328,1
1,102,1.0,1,4469,1.0,2,2,0.5084599366359983,121,1,-0.48496418734974894,1,1,3,0.44105535025487397,0.6319211478670901,144,1
1,60,0.0,0,4631,1.0,2,1,0.3450415587724984,85,2,-0.48496418734974894,1,0,1,-2.5850174322876724,-2.6095611164300907,365,1
1,126,0.0,0,5015,1.0,3,11,0.29445967990998656,66,2,-0.48496418734974894,1,1,11,0.44105535025487397,-0.30810870877909247,62,1
1,251,1.0,0,4447,1.0,3,3,0.41896892018693865,64,7,0.2770157251836133,3,4,3,0.44105535025487397,0.30777292143737206,89,1
1,104,0.0,0,5015,1.0,2,11,0.25555054232343877,8,2,-0.48496418734974894,1,1,11,0.44105535025487397,-0.30810870877909247,0,1
1,361,0.0,0,4634,1.0,3,1,0.3761688688417365,9,2,-0.48496418734974894,1,1,1,-2.5850174322876724,-2.6095611164300907,7,1
1,150,0.0,0,5015,1.0,3,11,0.28667785239267685,86,3,-0.48496418734974894,0,1,11,0.44105535025487397,-0.30810870877909247,88,1
1,105,0.0,0,5015,1.0,2,11,0.3761688688417365,9,2,-0.48496418734974894,1,1,11,0.44105535025487397,-0.30810870877909247,237,1
